,code,name
380,000918,*ST嘉凯
381,000919,金陵药业
382,000920,沃顿科技
383,000921,海信家电
384,000922,佳电股份
385,000923,河钢资源
386,000925,众合科技
387,000926,福星股份
388,000927,中国铁物
389,000928,中钢国际
390,000929,兰州黄河
391,000930,中粮科技
392,000931,中 关 村
393,000932,华菱钢铁
394,000933,神火股份
395,000935,四川双马
396,000936,华西股份
397,000937,冀中能源
398,000938,紫光股份
399,000948,南天信息
400,000949,新乡化纤
401,000950,重药控股
402,000951,中国重汽
403,000952,广济药业
404,000953,河化股份
405,000955,欣龙控股
406,000957,中通客车
407,000958,电投产融
408,000959,首钢股份
409,000960,锡业股份
410,000961,中南建设
411,000962,东方钽业
412,000963,华东医药
413,000965,天保基建
414,000966,长源电力
415,000967,盈峰环境
416,000968,蓝焰控股
417,000969,安泰科技
418,000970,中科三环
419,000971,ST高升
420,000972,中基健康
421,000973,佛塑科技
422,000975,银泰黄金
423,000976,ST华铁
424,000977,浪潮信息
425,000978,桂林旅游
426,000980,众泰汽车
427,000981,山子股份
428,000982,中银绒业
429,000983,山西焦煤
430,000985,大庆华科
431,000987,越秀资本
432,000988,华工科技
433,000989,九 芝 堂
434,000990,诚志股份
435,000993,闽东电力
436,000995,*ST皇台
437,000996,*ST中期
438,000997,新 大 陆
439,000998,隆平高科
440,000999,华润三九
441,001201,东瑞股份
442,001202,炬申股份
443,001203,大中矿业
444,001205,盛航股份
445,001206,依依股份
446,001207,联科科技
447,001208,华菱线缆
448,001209,洪兴股份
449,001210,金房能源
450,001211,双枪科技
451,001212,中旗新材
452,001213,中铁特货
453,001215,千味央厨
454,001216,华瓷股份
455,001217,华尔泰
456,001218,丽臣实业
457,001219,青岛食品
458,001222,源飞宠物
459,001223,欧克科技
460,001225,和泰机电
461,001226,拓山重工
462,001227,兰州银行
463,001228,永泰运
464,001229,魅视科技
465,001230,劲旅环境
466,001231,农心科技
467,001234,泰慕士
468,001236,弘业期货
469,001238,浙江正特
470,001255,博菲电气
471,001256,炜冈科技
472,001258,立新能源
473,001259,利仁科技
474,001260,坤泰股份
475,001266,宏英智能
476,001267,汇绿生态
477,001268,联合精密
478,001269,欧晶科技
479,001270,铖昌科技
480,001278,一彬科技
481,001282,三联锻造
482,001283,豪鹏科技
483,001286,陕西能源
484,001287,中电港
485,001288,运机集团
486,001289,龙源电力
487,001296,长江材料
488,001298,好上好
489,001299,美能能源
490,001300,三柏硕
491,001301,尚太科技
492,001308,康冠科技
493,001309,德明利
494,001311,多利科技
495,001313,粤海饲料
496,001314,亿道信息
497,001316,润贝航科
498,001317,三羊马
499,001318,阳光乳业
500,001319,铭科精技
501,001322,箭牌家居
502,001323,慕思股份
503,001324,长青科技
504,001328,登康口腔
505,001330,博纳影业
506,001331,胜通能源
507,001332,锡装股份
508,001333,光华股份
509,001336,楚环科技
510,001337,四川黄金
511,001338,永顺泰
512,001339,智微智能
513,001360,南矿集团
514,001366,播恩集团
515,001367,海森药业
516,001368,通达创智
517,001373,翔腾新材
518,001380,华纬科技
519,001696,宗申动力
520,001872,招商港口
521,001896,豫能控股
522,001914,招商积余
523,001965,招商公路
524,001979,招商蛇口
525,002001,新 和 成
526,002002,鸿达兴业
527,002003,伟星股份
528,002004,华邦健康
529,002005,ST德豪
530,002006,精工科技
531,002007,华兰生物
532,002008,大族激光
533,002009,天奇股份
534,002010,传化智联
535,002011,盾安环境
536,002012,凯恩股份
537,002014,永新股份
538,002015,协鑫能科
539,002016,世荣兆业
540,002017,东信和平
541,002019,亿帆医药
542,002020,京新药业
543,002021,*ST中捷
544,002022,科华生物
545,002023,海特高新
546,002024,ST易购
547,002025,航天电器
548,002026,山东威达
549,002027,分众传媒
550,002028,思源电气
551,002029,七 匹 狼
552,002030,达安基因
553,002031,巨轮智能
554,002032,苏 泊 尔
555,002033,丽江股份
556,002034,旺能环境
557,002035,华帝股份
558,002036,联创电子
559,002037,保利联合
560,002038,双鹭药业
561,002039,黔源电力
562,002040,南 京 港
563,002041,登海种业
564,002042,华孚时尚
565,002043,兔 宝 宝
566,002044,美年健康
567,002045,国光电器
568,002046,国机精工
569,002047,宝鹰股份
570,002048,宁波华翔
571,002049,紫光国微
572,002050,三花智控
573,002051,中工国际
574,002052,ST同洲
575,002053,云南能投
576,002054,德美化工
577,002055,得润电子
578,002056,横店东磁
579,002057,中钢天源
580,002058,威尔泰
581,002059,云南旅游
582,002060,粤 水 电
583,002061,浙江交科
584,002062,宏润建设
585,002063,远光软件
586,002064,华峰化学
587,002065,东华软件
588,002066,瑞泰科技
589,002067,景兴纸业
590,002068,黑猫股份
591,002069,獐子岛
592,002072,凯瑞德
593,002073,软控股份
594,002074,国轩高科
595,002075,沙钢股份
596,002076,星光股份
597,002077,大港股份
598,002078,太阳纸业
599,002079,苏州固锝
600,002080,中材科技
601,002081,金 螳 螂
602,002082,万邦德
603,002083,孚日股份
604,002084,海鸥住工
605,002085,万丰奥威
606,002086,*ST东洋
607,002087,*ST新纺
608,002088,鲁阳节能
609,002089,*ST新海
610,002090,金智科技
611,002091,江苏国泰
612,002092,中泰化学
613,002093,国脉科技
614,002094,青岛金王
615,002095,生 意 宝
616,002096,南岭民爆
617,002097,山河智能
618,002098,浔兴股份
619,002099,海翔药业
620,002100,天康生物
621,002101,广东鸿图
622,002102,冠福股份
623,002103,广博股份
624,002104,恒宝股份
625,002105,信隆健康
626,002106,莱宝高科
627,002107,沃华医药
628,002108,沧州明珠
629,002109,兴化股份
630,002110,三钢闽光
631,002111,威海广泰
632,002112,三变科技
633,002113,*ST天润
634,002114,罗平锌电
635,002115,三维通信
636,002116,中国海诚
637,002117,东港股份
638,002118,*ST紫鑫
639,002119,康强电子
640,002120,韵达股份
641,002121,科陆电子
642,002122,汇洲智能
643,002123,梦网科技
644,002124,天邦食品
645,002125,湘潭电化
646,002126,银轮股份
647,002127,南极电商
648,002128,电投能源
649,002129,TCL中环
650,002130,沃尔核材
651,002131,利欧股份
652,002132,恒星科技
653,002133,广宇集团
654,002134,天津普林
655,002135,东南网架
656,002136,安 纳 达
657,002137,实益达
658,002138,顺络电子
659,002139,拓邦股份
660,002140,东华科技
661,002141,贤丰控股
662,002142,宁波银行
663,002144,宏达高科
664,002145,中核钛白
665,002146,荣盛发展
666,002148,北纬科技
667,002149,西部材料
668,002150,通润装备
669,002151,北斗星通
670,002152,广电运通
671,002153,石基信息
672,002154,报 喜 鸟
673,002155,湖南黄金
674,002156,通富微电
675,002157,*ST 正邦
676,002158,汉钟精机
677,002159,三特索道
678,002160,常铝股份
679,002161,远 望 谷
680,002162,悦心健康
681,002163,海南发展
682,002164,宁波东力
683,002165,红 宝 丽
684,002166,莱茵生物
685,002167,东方锆业
686,002168,惠程科技
687,002169,智光电气
688,002170,芭田股份
689,002171,楚江新材
690,002172,澳洋健康
691,002173,创新医疗
692,002174,游族网络
693,002175,东方智造
694,002176,江特电机
695,002177,御银股份
696,002178,延华智能
697,002179,中航光电
698,002180,纳思达
699,002181,粤 传 媒
700,002182,云海金属
701,002183,怡 亚 通
702,002184,海得控制
703,002185,华天科技
704,002186,全 聚 德
705,002187,广百股份
706,002188,中天服务
707,002189,中光学
708,002190,成飞集成
709,002191,劲嘉股份
710,002192,融捷股份
711,002193,如意集团
712,002194,武汉凡谷
713,002195,二三四五
714,002196,方正电机
715,002197,证通电子
716,002198,嘉应制药
717,002199,东晶电子
718,002200,ST交投
719,002201,正威新材
720,002202,金风科技
721,002203,海亮股份
722,002204,大连重工
723,002205,国统股份
724,002206,海 利 得
725,002207,准油股份
726,002208,合肥城建
727,002209,达 意 隆
728,002210,飞马国际
729,002211,ST宏达
730,002212,天融信
731,002213,大为股份
732,002214,大立科技
733,002215,诺 普 信
734,002216,三全食品
735,002217,合力泰
736,002218,拓日新能
737,002219,新里程
738,002221,东华能源
739,002222,福晶科技
740,002223,鱼跃医疗
741,002224,三 力 士
742,002225,濮耐股份
743,002226,江南化工
744,002227,奥 特 迅
745,002228,合兴包装
746,002229,鸿博股份
747,002230,科大讯飞
748,002231,奥维通信
749,002232,启明信息
750,002233,塔牌集团
751,002234,民和股份
752,002235,安妮股份
753,002236,大华股份
754,002237,恒邦股份
755,002238,天威视讯
756,002239,奥特佳
757,002240,盛新锂能
758,002241,歌尔股份
759,002242,九阳股份
760,002243,力合科创
761,002244,滨江集团
762,002245,蔚蓝锂芯
763,002246,北化股份
764,002247,聚力文化
765,002248,华东数控
766,002249,大洋电机
767,002250,联化科技
768,002251,步 步 高
769,002252,上海莱士
770,002253,川大智胜
771,002254,泰和新材
772,002255,海陆重工
773,002256,兆新股份
774,002258,利尔化学
775,002259,ST升达
776,002261,拓维信息
777,002262,恩华药业
778,002263,大东南
779,002264,新 华 都
780,002265,西仪股份
781,002266,浙富控股
782,002267,陕天然气
783,002268,电科网安
784,002269,美邦服饰
785,002270,华明装备
786,002271,东方雨虹
787,002272,川润股份
788,002273,水晶光电
789,002274,华昌化工
790,002275,桂林三金
791,002276,万马股份
792,002277,友阿股份
793,002278,神开股份
794,002279,久其软件
795,002280,联络互动
796,002281,光迅科技
797,002282,博深股份
798,002283,天润工业
799,002284,亚太股份
800,002285,世联行
801,002286,保龄宝
802,002287,奇正藏药
803,002288,超华科技
804,002289,ST宇顺
805,002290,禾盛新材
806,002291,遥望科技
807,002292,奥飞娱乐
808,002293,罗莱生活
809,002294,信立泰
810,002295,精艺股份
811,002296,辉煌科技
812,002297,博云新材
813,002298,中电兴发
814,002299,圣农发展
815,002300,太阳电缆
816,002301,齐心集团
817,002302,西部建设
818,002303,美盈森
819,002304,洋河股份
820,002305,南国置业
821,002306,中科云网
822,002307,北新路桥
823,002308,威创股份
824,002309,ST中利
825,002310,东方园林
826,002311,海大集团
827,002312,川发龙蟒
828,002313,*ST日海
829,002314,南山控股
830,002315,焦点科技
831,002316,亚联发展
832,002317,众生药业
833,002318,久立特材
834,002319,乐通股份
835,002320,海峡股份
836,002321,华英农业
837,002322,理工能科
838,002323,雅博股份
839,002324,普利特
840,002325,洪涛股份
841,002326,永太科技
842,002327,富安娜
843,002328,新朋股份
844,002329,皇氏集团
845,002330,得利斯
846,002331,皖通科技
847,002332,仙琚制药
848,002333,罗普斯金
849,002334,英威腾
850,002335,科华数据
851,002336,人人乐
852,002337,赛象科技
853,002338,奥普光电
854,002339,积成电子
855,002340,格林美
856,002341,新纶新材
857,002342,巨力索具
858,002343,慈文传媒
859,002344,海宁皮城
860,002345,潮宏基
861,002346,柘中股份
862,002347,泰尔股份
863,002348,高乐股份
864,002349,精华制药
865,002350,北京科锐
866,002351,漫步者
867,002352,顺丰控股
868,002353,杰瑞股份
869,002354,天娱数科
870,002355,兴民智通
871,002356,赫美集团
872,002357,富临运业
873,002358,森源电气
874,002360,同德化工
875,002361,神剑股份
876,002362,汉王科技
877,002363,隆基机械
878,002364,中恒电气
879,002365,永安药业
880,002366,融发核电
881,002367,康力电梯
882,002368,太极股份
883,002369,卓翼科技
884,002370,亚太药业
885,002371,北方华创
886,002372,伟星新材
887,002373,千方科技
888,002374,中锐股份
889,002375,亚厦股份
890,002376,新北洋
891,002377,国创高新
892,002378,章源钨业
893,002379,宏创控股
894,002380,科远智慧
895,002381,双箭股份
896,002382,蓝帆医疗
897,002383,合众思壮
898,002384,东山精密
899,002385,大北农
900,002386,天原股份
901,002387,维信诺
902,002388,新亚制程
903,002389,航天彩虹
904,002390,信邦制药
905,002391,长青股份
906,002392,北京利尔
907,002393,力生制药
908,002394,联发股份
909,002395,双象股份
910,002396,星网锐捷
911,002397,梦洁股份
912,002398,垒知集团
913,002399,海普瑞
914,002400,省广集团
915,002401,中远海科
916,002402,和而泰
917,002403,爱仕达
918,002404,嘉欣丝绸
919,002405,四维图新
920,002406,远东传动
921,002407,多氟多
922,002408,齐翔腾达
923,002409,雅克科技
924,002410,广联达
925,002411,必康退
926,002412,汉森制药
927,002413,雷科防务
928,002414,高德红外
929,002415,海康威视
930,002416,爱施德
931,002417,深南退
932,002418,康盛股份
933,002419,天虹股份
934,002420,毅昌科技
935,002421,达实智能
936,002422,科伦药业
937,002423,中粮资本
938,002424,贵州百灵
939,002425,凯撒文化
940,002426,胜利精密
941,002427,尤夫股份
942,002428,云南锗业
943,002429,兆驰股份
944,002430,杭氧股份
945,002431,棕榈股份
946,002432,九安医疗
947,002433,*ST太安
948,002434,万里扬
949,002435,长江健康
950,002436,兴森科技
951,002437,誉衡药业
952,002438,江苏神通
953,002439,启明星辰
954,002440,闰土股份
955,002441,众业达
956,002442,龙星化工
957,002443,金洲管道
958,002444,巨星科技
959,002445,中南文化
960,002446,盛路通信
961,002448,中原内配
962,002449,国星光电
963,002451,摩恩电气
964,002452,长高电新
965,002453,华软科技
966,002454,松芝股份
967,002455,百川股份
968,002456,欧菲光
969,002457,青龙管业
970,002458,益生股份
971,002459,晶澳科技
972,002460,赣锋锂业
973,002461,珠江啤酒
974,002462,嘉事堂
975,002463,沪电股份
976,002465,海格通信
977,002466,天齐锂业
978,002467,二六三
979,002468,申通快递
980,002469,三维化学
981,002470,ST金正
982,002471,中超控股
983,002472,双环传动
984,002474,榕基软件
985,002475,立讯精密
986,002476,宝莫股份
987,002478,常宝股份
988,002479,富春环保
989,002480,新筑股份
990,002481,双塔食品
991,002482,*ST广田
992,002483,润邦股份
993,002484,江海股份
994,002485,*ST雪发
995,002486,嘉麟杰
996,002487,大金重工
997,002488,金固股份
998,002489,浙江永强
999,002490,山东墨龙
1000,002491,通鼎互联
1001,002492,恒基达鑫
1002,002493,荣盛石化
1003,002494,华斯股份
1004,002495,佳隆股份
1005,002496,辉丰股份
1006,002497,雅化集团
1007,002498,汉缆股份
1008,002500,山西证券
1009,002501,利源股份
1010,002502,ST鼎龙
1011,002503,*ST搜特
1012,002504,*ST弘高
1013,002505,鹏都农牧
1014,002506,协鑫集成
1015,002507,涪陵榨菜
1016,002508,老板电器
1017,002510,天汽模
1018,002511,中顺洁柔
1019,002512,达华智能
1020,002513,蓝丰生化
1021,002514,宝馨科技
1022,002515,金字火腿
1023,002516,旷达科技
1024,002517,恺英网络
1025,002518,科士达
1026,002519,银河电子
1027,002520,日发精机
1028,002521,齐峰新材
1029,002522,浙江众成
1030,002523,天桥起重
1031,002524,光正眼科
1032,002526,山东矿机
1033,002527,新时达
1034,002528,英飞拓
1035,002529,海源复材
1036,002530,金财互联
1037,002531,天顺风能
1038,002532,天山铝业
1039,002533,金杯电工
1040,002534,西子洁能
1041,002535,林州重机
1042,002536,飞龙股份
1043,002537,海联金汇
1044,002538,司尔特
1045,002539,云图控股
1046,002540,亚太科技
1047,002541,鸿路钢构
1048,002542,中化岩土
1049,002543,万和电气
1050,002544,普天科技
1051,002545,东方铁塔
1052,002546,新联电子
1053,002547,春兴精工
1054,002548,金新农
1055,002549,凯美特气
1056,002550,千红制药
1057,002551,尚荣医疗
1058,002552,宝鼎科技
1059,002553,南方精工
1060,002554,惠博普
1061,002555,三七互娱
1062,002556,辉隆股份
1063,002557,洽洽食品
1064,002558,巨人网络
1065,002559,亚威股份
1066,002560,通达股份
1067,002561,徐家汇
1068,002562,兄弟科技
1069,002563,森马服饰
1070,002564,天沃科技
1071,002565,顺灏股份
1072,002566,益盛药业
1073,002567,唐人神
1074,002568,百润股份
1075,002569,ST步森
1076,002570,贝因美
1077,002571,德力股份
1078,002572,索菲亚
1079,002573,清新环境
1080,002574,明牌珠宝
1081,002575,群兴玩具
1082,002576,通达动力
1083,002577,雷柏科技
1084,002578,闽发铝业
1085,002579,中京电子
1086,002580,圣阳股份
1087,002581,未名医药
1088,002582,好想你
1089,002583,海能达
1090,002584,西陇科学
1091,002585,双星新材
1092,002586,*ST围海
1093,002587,奥拓电子
1094,002588,史丹利
1095,002589,瑞康医药
1096,002590,万安科技
1097,002591,恒大高新
1098,002592,ST八菱
1099,002593,日上集团
1100,002594,比亚迪
1101,002595,豪迈科技
1102,002596,海南瑞泽
1103,002597,金禾实业
1104,002598,山东章鼓
